name,description,stars,install_command,verified,repo_url,screenshots
memsearch,"A persistent, unified memory layer for all your AI agents (e.g. Claude Code, Codex, DSH), backed by Markdown and Milvus.",2628,dsh plugin --profile web add @zilliz/memsearch-dsh,true,https://github.com/zilliztech/memsearch,https://raw.githubusercontent.com/zilliztech/claude-context/master/assets/signup_and_get_apikey.png;https://raw.githubusercontent.com/zilliztech/memsearch/HEAD/assets/logo-icon.jpg;https://github.com/user-attachments/assets/427b7152-bc16-408c-a8b0-59a2b05fd1e0;https://github.com/user-attachments/assets/39a90f1c-54e3-4c7a-b168-051f0e096d39
dsh-agent-teams,Dispatch work across a team of agents,1755,dsh plugin --profile web add @nanmicoder/dsh-agent-teams,true,https://github.com/NanmiCoder/dsh-agent-teams,https://raw.githubusercontent.com/NanmiCoder/dsh-agent-teams/HEAD/assets/readme/hero.svg;https://raw.githubusercontent.com/NanmiCoder/dsh-agent-teams/HEAD/assets/ui.png
dsh-purge,DeepSeek Harness 破甲：让所有模型都能破甲，不同模型可换不同提示词；默认提示词面向国模「小码酱」。Jailbreak for every model — swap prompts per model. 求 Star 收藏 ⭐,1704,dsh plugin add https://github.com/YuJunZhiXue/dsh-purge/archive/refs/heads/master.tar.gz,true,https://github.com/YuJunZhiXue/dsh-purge,https://raw.githubusercontent.com/YuJunZhiXue/dsh-purge/HEAD/docs/preview/settings.png;https://raw.githubusercontent.com/YuJunZhiXue/dsh-purge/HEAD/docs/preview/rules.png;https://raw.githubusercontent.com/YuJunZhiXue/dsh-purge/HEAD/docs/banner.svg
dsh-context,See exactly what your context window is made of,1461,dsh plugin --profile web add dsh-context,true,https://github.com/bowenliang123/dsh-context,https://repository-images.githubusercontent.com/1333961389/f94ffc85-2564-4456-8a86-856986fef80e;https://raw.githubusercontent.com/bowenliang123/dsh-context/main/docs/social-preview.png;https://raw.githubusercontent.com/bowenliang123/dsh-context/main/docs/context-dashboard.png;https://raw.githubusercontent.com/bowenliang123/dsh-context/main/docs/context-overview.png
dsh-im,Connect nine chat platforms to DSH at once,1424,dsh plugin --profile web add -w @xmanrui/dsh-im,true,https://github.com/xmanrui/dsh-im,https://raw.githubusercontent.com/xmanrui/dsh-im/HEAD/docs/images/imbot.png;https://raw.githubusercontent.com/xmanrui/dsh-im/HEAD/assets/logo-dsh-im-connecting-readme-3x2.png;https://raw.githubusercontent.com/xmanrui/dsh-im/HEAD/assets/logo-plugin-phone.png;https://raw.githubusercontent.com/xmanrui/dsh-im/HEAD/docs/images/Context_enhancement.png
dsh-pocket,Scan a QR code to reach your desktop DSH from your phone,1262,dsh plugin --profile web add dsh-pocket -w,true,https://github.com/shaobeichen/dsh-pocket,https://repository-images.githubusercontent.com/1334962266/fd8ec773-50a4-4bd1-9b94-3c9d4e1731ec;https://raw.githubusercontent.com/shaobeichen/dsh-pocket/HEAD/docs/banner.jpg;https://raw.githubusercontent.com/shaobeichen/dsh-pocket/HEAD/docs/interface.jpg;https://raw.githubusercontent.com/shaobeichen/dsh-pocket/HEAD/docs/entry.jpg
Browser4,"Browser4 — an AI-native browser engine for autonomous agents, intelligent extraction, and large-scale web automation.",1140,dsh plugin --profile web add github:platonai/dsh-browser4,true,https://github.com/platonai/Browser4,https://github.com/user-attachments/assets/c15fe635-0e9f-4ac2-b038-abec6bd6bbe4
dsh-vision-router,"Use a free, keyless vision route plus pixel tools",1113,dsh plugin --profile web add dsh-vision-router,true,https://github.com/ysr666/dsh-vision-router,https://raw.githubusercontent.com/ysr666/dsh-vision-router/main/assets/pixel-loop.png;https://raw.githubusercontent.com/ysr666/dsh-vision-router/HEAD/assets/hero.svg;https://raw.githubusercontent.com/ysr666/dsh-vision-router/HEAD/assets/vision-demo.gif;https://raw.githubusercontent.com/ysr666/dsh-vision-router/HEAD/assets/dsh-conversation-image-qa.png
AI-Novel-Writer,"AI 小说创作软件：把灵感、角色、世界观、大纲、章节写作、审稿和修稿组织成可控流程；提供 Windows/macOS 桌面版，支持本地和在线模型。AI Novel Writing Software: Organizes inspirations, characters, worldbuilding, outlines, chapter drafting, review, and revision into a controllable workflow. Features desktop apps for Windows/macOS, Ollama integration, and a DeepSeek Harness (DSH) plugin preview.",1041,dsh plugin --profile web add @ethanyoq/dsh-ai-novel-writer,true,https://github.com/EthanYoQ/AI-Novel-Writer,https://repository-images.githubusercontent.com/1275436512/6f351e0c-18b8-48fa-9743-62aec219a579;https://raw.githubusercontent.com/EthanYoQ/AI-Novel-Writer/HEAD/docs/assets/readme/ui-zh-v085-project-config.png;https://raw.githubusercontent.com/EthanYoQ/AI-Novel-Writer/HEAD/docs/assets/readme/ai-novel-writer-logo-transparent.png
dsh-vision-toolkit,Ask questions about a pasted screenshot,883,dsh plugin --profile web add @anionex/dsh-vision-toolkit,true,https://github.com/Anionex/dsh-vision-toolkit,https://raw.githubusercontent.com/Anionex/dsh-vision-toolkit/HEAD/assets/hero-v2.png;https://raw.githubusercontent.com/Anionex/dsh-vision-toolkit/HEAD/assets/logo_aihubmix.png;https://raw.githubusercontent.com/Anionex/dsh-vision-toolkit/HEAD/assets/logo_eapi_dark.png;https://raw.githubusercontent.com/Anionex/dsh-vision-toolkit/HEAD/assets/dsh-view-example.png
dsh-plugin-shop,"The most comprehensive DeepSeek Harness plugin market — refreshed daily, sourced across the Internet, reviewed before publishing.",850,dsh plugin --profile web add dsh-plugin-shop@0.8.2,true,https://github.com/LivXue/dsh-plugin-shop,https://raw.githubusercontent.com/LivXue/dsh-plugin-shop/HEAD/docs/images/shelf-light.png;https://raw.githubusercontent.com/LivXue/dsh-plugin-shop/HEAD/docs/images/gate-light.png;https://raw.githubusercontent.com/LivXue/dsh-plugin-shop/HEAD/docs/images/shelf-dark.png
api-relay-audit,Audit your API relay for prompt injection and worse,841,dsh plugin --profile web add github:toby-bridges/api-relay-audit#v2.4.0,true,https://github.com/toby-bridges/api-relay-audit,https://repository-images.githubusercontent.com/1195794651/1012082e-04ae-47c9-b052-6624d9b6ad4e;https://raw.githubusercontent.com/toby-bridges/api-relay-audit/HEAD/assets/readme-banner.png
Openwrite,dsh-Openwrite：OpenWrite 的 DeepSeek Harness 小说创作插件，含统一创作 Agent、90 个小说工具、原生工作台与标准审稿 DAG,744,dsh plugin --profile web add -w https://github.com/LiPu-jpg/Openwrite/releases/download/v0.2.10/dsh-openwrite-0.2.10.tgz,true,https://github.com/LiPu-jpg/Openwrite,https://raw.githubusercontent.com/LiPu-jpg/Openwrite/HEAD/assets/logo-light.svg
donsetch,"Web fetch, search, and crawl for AI agents. Built from scratch in Rust. No keys, no accounts. AGPL v3.",716,dsh plugin --profile web add github:dondai44423/donsetch-dsh,true,https://github.com/dondai44423/donsetch,https://raw.githubusercontent.com/dondai44423/donsetch/HEAD/assets/herobanner.png;https://raw.githubusercontent.com/dondai44423/donsetch/HEAD/assets/fetch.png;https://raw.githubusercontent.com/dondai44423/donsetch/HEAD/assets/crawl.png;https://raw.githubusercontent.com/dondai44423/donsetch/HEAD/assets/byok-keys.png
dsh-pet,Install a desktop pet in one line,701,dsh plugin --profile web add dsh-pet,true,https://github.com/PC2005-cloud/dsh-pet,https://raw.githubusercontent.com/PC2005-cloud/dsh-pet/HEAD/assets/screenshots/dsh-pet-running-1.png;https://raw.githubusercontent.com/PC2005-cloud/dsh-pet/HEAD/assets/screenshots/dsh-pet-running-2.png;https://raw.githubusercontent.com/PC2005-cloud/dsh-pet/HEAD/assets/screenshots/dsh-pet-running-3.png;https://raw.githubusercontent.com/PC2005-cloud/dsh-pet/HEAD/assets/screenshots/dsh-pet-running-4.png
dsh-worktable,🖥️ Agent-project workbench for DeepSeek Harness — sidebar app drawer + dockable split workspace + a live control room watching every project.,654,"dsh plugin --profile web add ""https://github.com/Aisland-SJL/dsh-worktable/releases/latest/download/dsh-worktable.tgz""",true,https://github.com/Aisland-SJL/dsh-worktable,https://raw.githubusercontent.com/Aisland-SJL/dsh-worktable/HEAD/docs/assets/shot-2-console.png;https://raw.githubusercontent.com/Aisland-SJL/dsh-worktable/HEAD/docs/assets/shot-1-sidebar.png;https://raw.githubusercontent.com/Aisland-SJL/dsh-worktable/HEAD/docs/assets/shot-3-workspace.png
sandbase-harness,"Local-first, self-hosted AI agent runtime and MCP bridge with sandboxed sessions, memory, credentials, audit/replay, and a local Console.",648,dsh plugin --profile web add git+https://github.com/sandbaseai/sandbase-harness.git,true,https://github.com/sandbaseai/sandbase-harness,https://repository-images.githubusercontent.com/1297278222/e7ab6bfd-e25c-486c-8214-6143c57cc82c;https://raw.githubusercontent.com/sandbaseai/sandbase-harness/HEAD/docs/assets/sandbase-harness-architecture.svg;https://raw.githubusercontent.com/sandbaseai/sandbase-harness/HEAD/docs/assets/dashboard-overview.png;https://raw.githubusercontent.com/sandbaseai/sandbase-harness/HEAD/docs/assets/dashboard-settings-models.png
dsh-ads,"把 DSH 变成 2005 年门户网站｜Parody ads, fake games, and popups for the DSH Web UI",630,dsh plugin --profile web add @nagi-ovo/dsh-ads,true,https://github.com/Nagi-ovo/dsh-ads,https://repository-images.githubusercontent.com/1329113397/8ec65658-244d-48d1-bbf7-efe1c16b8cb6;https://raw.githubusercontent.com/Nagi-ovo/dsh-ads/HEAD/assets/social-preview.jpg;https://raw.githubusercontent.com/Nagi-ovo/dsh-ads/HEAD/assets/screenshot.webp;https://raw.githubusercontent.com/Nagi-ovo/dsh-ads/HEAD/assets/reward-gate.webp
ccteam,"ccteam turns the coding agents you already run (Claude Code, Codex, Grok, DeepSeek Harness, Kimi, Pi) into one team — any session can spawn, dispatch, and collect work from any vendor on any machine, while you steer it all from Telegram, Lark, or a browser tab. 把你在用的编程 agent 编成一支团队,跨厂商跨机器派活,Telegram/飞书/网页统一指挥。",604,dsh plugin --profile web add @ccteam/ccteam-ui,true,https://github.com/firstintent/ccteam,https://raw.githubusercontent.com/firstintent/ccteam/HEAD/assets/logo.svg;https://raw.githubusercontent.com/firstintent/ccteam/HEAD/assets/orchestration.svg;https://raw.githubusercontent.com/firstintent/ccteam/HEAD/docs/images/web-team-topology.png;https://raw.githubusercontent.com/firstintent/ccteam/HEAD/docs/images/telegram-console.png
mnemon,"LLM-supervised persistent memory for AI agents — graph-based recall, cross-session knowledge, single binary. Works with DeepSeek Harness, Claude Code, OpenClaw, and any agent runtime.",588,dsh plugin --profile web add github:mnemon-dev/mnemon,true,https://github.com/mnemon-dev/mnemon,https://raw.githubusercontent.com/mnemon-dev/mnemon/HEAD/docs/logo/logo.svg;https://raw.githubusercontent.com/mnemon-dev/mnemon/HEAD/docs/diagrams/llm-supervised-concept.jpg;https://raw.githubusercontent.com/mnemon-dev/mnemon/HEAD/docs/diagrams/10-knowledge-graph.jpg
dsh-redteam-model,基于dsh web实现的多种模式，目的是服务于redteam进行授权的安全研究，覆盖渗透测试、红队评估、代码审计等范围领域，请勿用于非法行为。（允许二开，赋予模块各位自己的业务逻辑，方法论只有自己熟练的才好用，好的方法论=好的生态）,552,dsh plugin --profile web add github:SeaOf0/dsh-redteam-model,true,https://github.com/SeaOf0/dsh-redteam-model,https://raw.githubusercontent.com/SeaOf0/dsh-redteam-model/HEAD/功能展示/a.png;https://raw.githubusercontent.com/SeaOf0/dsh-redteam-model/HEAD/功能展示/2.png;https://raw.githubusercontent.com/SeaOf0/dsh-redteam-model/HEAD/功能展示/3.png;https://raw.githubusercontent.com/SeaOf0/dsh-redteam-model/HEAD/功能展示/4.png
dsh-pentest,Switch DSH into a penetration-testing mode,525,dsh plugin --profile web add https://github.com/howmp/dsh-pentest/releases/latest/download/dsh-pentest.tar.gz,true,https://github.com/howmp/dsh-pentest,https://raw.githubusercontent.com/howmp/dsh-pentest/HEAD/images/mode.png;https://raw.githubusercontent.com/howmp/dsh-pentest/HEAD/images/chat.png;https://raw.githubusercontent.com/howmp/dsh-pentest/HEAD/images/flow.png;https://raw.githubusercontent.com/howmp/dsh-pentest/HEAD/images/vuln.png
modsearch,Ask the web or X and get structured evidence back,515,dsh plugin --profile web add @liustack/modsearch@5.10.0,false,https://github.com/liustack/modsearch,https://repository-images.githubusercontent.com/1163808542/97e130e2-e90f-4351-bb8c-746cf55e7c4d;https://raw.githubusercontent.com/liustack/modsearch/main/assets/demo-codex-fetch.png;https://raw.githubusercontent.com/liustack/modsearch/main/assets/demo-codex-search.png;https://raw.githubusercontent.com/liustack/modsearch/main/assets/demo-dsh-web-search.png
dsh-at-file,Attach a workspace file to your prompt by searching for it,511,dsh plugin --profile web add https://github.com/FSMargoo/dsh-at-file/archive/refs/tags/v0.7.0.tar.gz,true,https://github.com/FSMargoo/dsh-at-file,https://raw.githubusercontent.com/FSMargoo/dsh-at-file/HEAD/assets/screenshots/workspace-path-picker.png;https://raw.githubusercontent.com/FSMargoo/dsh-at-file/HEAD/assets/screenshots/file-mention-composer.png;https://raw.githubusercontent.com/FSMargoo/dsh-at-file/HEAD/assets/screenshots/file-mention-settings.png
postiz-agent,"Postiz Agents CLI - connect it to Claude / OpenClaw / etc, to schedule social media posts 🤖",484,"dsh plugin --profile web add ""github:gitroomhq/postiz-agent#path:/plugins/dsh-postiz""",true,https://github.com/gitroomhq/postiz-agent,https://raw.githubusercontent.com/gitroomhq/postiz-agent/HEAD/assets/logo.svg
thoughtdag,Your thinking deserves a map: an infinite canvas where LLM conversations grow into an editable thought graph. Wires are the context.,471,dsh plugin --profile web add dsh-thoughtdag,true,https://github.com/chenxiachan/thoughtdag,https://repository-images.githubusercontent.com/1160354976/36cd0bea-3835-4901-b30a-1d56239985d9;https://raw.githubusercontent.com/chenxiachan/thoughtdag/HEAD/public/favicon.svg;https://raw.githubusercontent.com/chenxiachan/thoughtdag/HEAD/docs/harness-plugin-en.gif;https://raw.githubusercontent.com/chenxiachan/thoughtdag/HEAD/docs/hero-demo-en.gif
dsh-genui,Get interactive UI components inline in replies,470,dsh plugin --profile web add @changfenhuang/dsh-genui,true,https://github.com/omdsh-dev/dsh-genui,https://raw.githubusercontent.com/omdsh-dev/dsh-genui/HEAD/assets/demo-thumb.png;https://raw.githubusercontent.com/omdsh-dev/dsh-genui/HEAD/assets/showcase-panel.png;https://raw.githubusercontent.com/omdsh-dev/dsh-genui/HEAD/assets/showcase-plot.png;https://raw.githubusercontent.com/omdsh-dev/dsh-genui/HEAD/assets/showcase.png
agentguard,"Security guard for AI agents — blocks malicious skills, prevents data leaks, protects secrets. 24 detection rules, runtime action evaluation, trust registry.",463,dsh plugin --profile web add --allow-build=@goplus/agentguard @goplus/agentguard,true,https://github.com/GoPlusSecurity/agentguard,https://raw.githubusercontent.com/GoPlusSecurity/agentguard/HEAD/assets/logo.png
pi-hermes-memory,Hermes-style persistent memory and learning loop for Pi coding agent,449,dsh plugin --profile web add -w pi2dsh pi-hermes-memory,true,https://github.com/chandra447/pi-hermes-memory,https://raw.githubusercontent.com/chandra447/pi-hermes-memory/HEAD/docs/images/pi_memory.png;https://raw.githubusercontent.com/chandra447/pi-hermes-memory/HEAD/docs/images/session-lifecycle.svg;https://raw.githubusercontent.com/chandra447/pi-hermes-memory/HEAD/docs/images/memory-architecture.svg;https://raw.githubusercontent.com/chandra447/pi-hermes-memory/HEAD/docs/images/security-flow.svg
dsh-image-gen,"AI image studio for DeepSeek Harness — generate, edit & compare images in chat, with 500+ prompts, gallery, multi-model workflows and ComfyUI.",445,dsh plugin --profile web add dsh-image-gen@latest,true,https://github.com/shanliuling/dsh-image-gen,https://raw.githubusercontent.com/shanliuling/dsh-image-gen/HEAD/docs/assets/readme/hero-zh.webp;https://raw.githubusercontent.com/shanliuling/dsh-image-gen/HEAD/docs/assets/readme/canvas-generate.webp;https://raw.githubusercontent.com/shanliuling/dsh-image-gen/HEAD/docs/assets/readme/canvas-edit.webp;https://raw.githubusercontent.com/shanliuling/dsh-image-gen/HEAD/docs/assets/readme/chat-generate.webp
Invoice-Downloader,电子发票整理与报销准备工具：从邮箱批量收集 PDF/OFD/XML 发票，OCR 识别、分类归档并生成 Excel 汇总；提供 Windows/macOS 桌面版与 DSH 插件。,434,dsh plugin --profile web add @ethanyoq/dsh-invoice-downloader,true,https://github.com/EthanYoQ/Invoice-Downloader,https://repository-images.githubusercontent.com/1170373459/84f2b3e4-dae7-4808-8881-127e8114f397;https://raw.githubusercontent.com/EthanYoQ/Invoice-Downloader/HEAD/docs/track-ab.svg;https://raw.githubusercontent.com/EthanYoQ/Invoice-Downloader/HEAD/docs/funnel.svg;https://raw.githubusercontent.com/EthanYoQ/Invoice-Downloader/HEAD/docs/images/invoiceflowai-hero-zh.png
anysearch-dsh,Add a multi-provider web search backend,424,dsh plugin --profile web add @anysearch/anysearch-dsh,true,https://github.com/anysearch-team/anysearch-dsh,https://raw.githubusercontent.com/anysearch-team/anysearch-dsh/HEAD/docs/assets/anysearch-logo.svg;https://raw.githubusercontent.com/anysearch-team/anysearch-dsh/HEAD/docs/assets/discord-community-qr.png;https://raw.githubusercontent.com/anysearch-team/anysearch-dsh/HEAD/docs/assets/wechat-community-qr.jpg
dsh-synapse,Explore a conversation as a branching canvas,411,dsh plugin --profile web add dsh-synapse,true,https://github.com/liangmianya/dsh-synapse,https://raw.githubusercontent.com/liangmianya/dsh-synapse/HEAD/docs/images/synapse-map.jpg;https://raw.githubusercontent.com/liangmianya/dsh-synapse/HEAD/docs/images/native-webui.jpg
DSH-Transparent-UI-Plugin,Turn the whole interface into frosted glass,406,dsh plugin --profile web add dsh-client-ui-aqua,true,https://github.com/WYH66666666/DSH-Transparent-UI-Plugin,https://raw.githubusercontent.com/WYH66666666/DSH-Transparent-UI-Plugin/HEAD/assets/1.png;https://raw.githubusercontent.com/WYH66666666/DSH-Transparent-UI-Plugin/HEAD/assets/2.png;https://raw.githubusercontent.com/WYH66666666/DSH-Transparent-UI-Plugin/HEAD/assets/3.png;https://raw.githubusercontent.com/WYH66666666/DSH-Transparent-UI-Plugin/HEAD/assets/4.png
dsh-mnemon,Get a three-tier memory control plane,390,dsh plugin --profile web add dsh-mnemon,true,https://github.com/omdsh-dev/dsh-mnemon,https://raw.githubusercontent.com/omdsh-dev/dsh-mnemon/main/docs/assets/diagrams/en/composable-memory.png;https://raw.githubusercontent.com/omdsh-dev/dsh-mnemon/main/docs/assets/webui-v0.5.4/en/spaces.jpg
open-sea-skin,"🌊 DeepSeek Harness 海洋皮肤与动态主题 | Real-time ocean theme with adjustable waves, sunset & glass opacity. DSH plugin + Chrome/Edge extension; keeps your new-tab homepage.",380,dsh plugin --profile web add 'github:d-dev0101/open-sea-skin#v1.2.4',true,https://github.com/d-dev0101/open-sea-skin,https://raw.githubusercontent.com/d-dev0101/open-sea-skin/HEAD/docs/marketplace/open-sea-harness-cover.png;https://raw.githubusercontent.com/d-dev0101/open-sea-skin/HEAD/docs/screenshots/harness-dark-overview-40.gif;https://raw.githubusercontent.com/d-dev0101/open-sea-skin/HEAD/docs/screenshots/harness-light-overview-40.gif;https://raw.githubusercontent.com/d-dev0101/open-sea-skin/HEAD/docs/screenshots/harness-wave-control-40.gif
dsh-univer-office,"Preview and edit spreadsheets, docs, and slides inline",380,dsh plugin --profile web add dsh-univer-office,true,https://github.com/dream-num/dsh-univer-office,https://raw.githubusercontent.com/dream-num/dsh-univer-office/HEAD/docs/assets/readme/univer-deepseek-banner.png;https://raw.githubusercontent.com/dream-num/dsh-univer-office/HEAD/docs/assets/readme/nike-presentation-demo.png;https://raw.githubusercontent.com/dream-num/dsh-univer-office/HEAD/docs/assets/readme/chart-and-formatting.png;https://raw.githubusercontent.com/dream-num/dsh-univer-office/HEAD/docs/assets/readme/spreadsheet-request.png
dsh-plugin-subscriptions,"Use a ChatGPT, Claude, or X Premium subscription as a DSH provider",374,dsh plugin --profile web add dsh-plugin-subscriptions,true,https://github.com/V1ki/dsh-plugin-subscriptions,https://raw.githubusercontent.com/V1ki/dsh-plugin-subscriptions/main/docs/images/subscriptions.png;https://raw.githubusercontent.com/V1ki/dsh-plugin-subscriptions/main/docs/images/model-settings.png;https://raw.githubusercontent.com/V1ki/dsh-plugin-subscriptions/main/docs/images/provider-tools.png;https://raw.githubusercontent.com/V1ki/dsh-plugin-subscriptions/main/docs/images/model-picker.png
humanizer-ru,"humanizer-ru: очеловечить русский AI-текст для Claude Code, Cursor, Codex и других AI-агентов. 64 признака нейросети, 21 жёсткий бан, сканер в комплекте. | Remove AI-generation markers from Russian text: open-source skill for Claude Code, Cursor, Codex and other agents.",369,dsh plugin --profile web add humanizer-ru,true,https://github.com/ilyautov/humanizer-ru,https://raw.githubusercontent.com/ilyautov/humanizer-ru/HEAD/assets/social-preview.png
harmony-next.skills,Get expert guidance for HarmonyOS NEXT development,352,dsh plugin --profile demo add github:linhay/harmony-next.skills,true,https://github.com/linhay/harmony-next.skills,
dsh-dafeiyu,"Desktop-native BigFish companion for DeepSeek Harness — real Agent status, always on top on Windows.",335,dsh plugin --profile web add dsh-dafeiyu,true,https://github.com/QCYTSN/dsh-dafeiyu,https://raw.githubusercontent.com/QCYTSN/dsh-dafeiyu/HEAD/docs/images/dsh-bigfish-running.png;https://raw.githubusercontent.com/QCYTSN/dsh-dafeiyu/HEAD/docs/images/status-thinking.png;https://raw.githubusercontent.com/QCYTSN/dsh-dafeiyu/HEAD/docs/images/status-working.png;https://raw.githubusercontent.com/QCYTSN/dsh-dafeiyu/HEAD/docs/images/status-waiting.png
whale-girl,DSH Web GUI 桌面宠物插件（QQ 宠物形态）：右下角悬浮、可拖拽/投喂/玩耍的积累型伙伴。,328,"dsh plugin --profile web add ""github:vlln/whale-girl#main""",true,https://github.com/vlln/whale-girl,https://raw.githubusercontent.com/vlln/whale-girl/HEAD/docs/preview/idle.gif;https://raw.githubusercontent.com/vlln/whale-girl/HEAD/docs/preview/working.gif;https://raw.githubusercontent.com/vlln/whale-girl/HEAD/docs/preview/celebrate.gif;https://raw.githubusercontent.com/vlln/whale-girl/HEAD/docs/preview/error.gif
dsh-memory-evolve,Let your agent write and manage its own skills between sessions,324,dsh plugin --profile web add github:csyangwen/dsh-memory-evolve,true,https://github.com/csyangwen/dsh-memory-evolve,
